image_name;cubes_info
C:/Users/huetb/Desktop/Cours/Bachelor 3/Projet Lettre ML/code/final/projetml 1/image/image.png;0,0,0,1;64,0,0,1;128,0,-0.9860146651774875,-0.16665857330160758;192,0,-0.6516798466170145,0.7584941512715998;256,0,-0.3865165826202243,0.9222824574714533;320,0,0.9963700990045374,-0.08512711559596406;384,0,0,1;448,0,0,1;0,64,0,1;64,64,0,1;128,64,-0.8141930399331611,-0.5805942591211162;192,64,0,1;256,64,0,1;320,64,-0.29208564181106544,-0.9563921673915037;384,64,0,1;448,64,0,1;0,128,0,1;64,128,0,1;128,128,-0.3033823179136058,-0.9528689150021464;192,128,0,1;256,128,0,1;320,128,-0.5867456730679734,-0.8097712733457584;384,128,0,1;448,128,0,1;0,192,0,1;64,192,0,1;128,192,0.4569814112740725,-0.8894762446237432;192,192,0,1;256,192,-0.7560776471443338,-0.6544819260214053;320,192,-0.6196553381481273,-0.7848740420631389;384,192,0,1;448,192,0,1;0,256,0,1;64,256,0,1;128,256,0.4328630029161509,-0.9014597166298738;192,256,0,1;256,256,-0.7253930650694389,-0.6883348757321285;320,256,0,1;384,256,0,1;448,256,0,1;0,320,0,1;64,320,0,1;128,320,0.42841642415022485,-0.9035814116715409;192,320,-0.06957825226154857,0.9975764967220451;256,320,-0.3896331078296152,0.9209701630796925;320,320,-0.3972332500806419,0.91771768264013;384,320,-0.18143599316984924,0.9834027559359748;448,320,0,1;0,384,0,1;64,384,0,1;128,384,0,1;192,384,-0.46850678178518523,0.8834599002904937;256,384,0,1;320,384,-0.5068094784557001,-0.8620580911675624;384,384,0,1;448,384,0,1;0,448,0,1;64,448,0,1;128,448,-0.5494422552670597,0.8355316918747291;192,448,0.7204498359442649,0.6935070539568303;256,448,-0.20949040533260566,0.977810702576721;320,448,-0.8772373620663725,0.48005688266582774;384,448,0,1;448,448,0,1
C:/Users/huetb/Desktop/Cours/Bachelor 3/Projet Lettre ML/code/final/projetml 1/image/image.png;0,0,0,1;64,0,0,1;128,0,0,1;192,0,-0.7940875754616921,0.607803358412383;256,0,0.9882035708543055,0.15314601709087855;320,0,0,1;384,0,0,1;448,0,0,1;0,64,0,1;64,64,0,1;128,64,-0.4693045482790612,-0.8830363757878756;192,64,0,1;256,64,0.9338397464530491,-0.357691666026069;320,64,0.7481932611510055,-0.6634808542589781;384,64,0,1;448,64,0,1;0,128,0,1;64,128,0,1;128,128,-0.15637958391272527,-0.9876970313488256;192,128,0,1;256,128,0,1;320,128,0.33592466809127347,-0.9418888561649764;384,128,0,1;448,128,0,1;0,192,0,1;64,192,0,1;128,192,0.28629373934300834,-0.9581418970136927;192,192,0,1;256,192,0,1;320,192,-1.25607396694702e-15,1.0;384,192,0,1;448,192,0,1;0,256,0,1;64,256,0,1;128,256,0.4442883148896821,-0.8958838614756305;192,256,0.5847881727052431,-0.8111860409696796;256,256,0,1;320,256,-0.19530728837971778,-0.9807420981612657;384,256,0,1;448,256,0,1;0,320,0,1;64,320,0,1;128,320,0,1;192,320,0.7979000206045125,-0.6027898117248819;256,320,-0.8439831844399092,-0.5363696340982309;320,320,-0.6242675046287108,-0.7812106519144772;384,320,0.7868007913026519,0.6172070275082103;448,320,0,1;0,384,0,1;64,384,0,1;128,384,0,1;192,384,0.9235848537944277,-0.3833940764298866;256,384,-0.7032047187553858,0.7109874285246955;320,384,0,1;384,384,-0.6789944402545762,-0.7341434124906214;448,384,0,1;0,448,0,1;64,448,0,1;128,448,0,1;192,448,-0.5723486542138382,0.8200103767755675;256,448,0.9659649250493244,0.2586730824311893;320,448,-0.3026551963102199,0.9531001165388777;384,448,-0.9934492519207442,-0.11427416093813172;448,448,0,1
C:/Users/huetb/Desktop/Cours/Bachelor 3/Projet Lettre ML/code/final/projetml 1/image/image.png;0,0,0,1;64,0,0,1;128,0,0,1;192,0,0,1;256,0,-0.820658156497253,0.5714194520442316;320,0,0.9882493459692651,0.15285035227738203;384,0,0,1;448,0,0,1;0,64,0,1;64,64,0,1;128,64,0,1;192,64,-0.5067481231023022,-0.8620941594352058;256,64,0,1;320,64,0.7005584101528264,-0.713595063018337;384,64,0.8355990220048902,-0.5493398533007331;448,64,0,1;0,128,0,1;64,128,0,1;128,128,0,1;192,128,-0.27591339394653364,-0.961182500382162;256,128,0,1;320,128,0,1;384,128,0.3929060638445324,-0.9195786127320471;448,128,0,1;0,192,0,1;64,192,0,1;128,192,0,1;192,192,-0.190045248118243,-0.9817753325826003;256,192,0,1;320,192,0,1;384,192,-0.4521511586308327,-0.8919413264048234;448,192,0,1;0,256,0,1;64,256,0,1;128,256,0,1;192,256,-1.25607396694702e-15,1.0;256,256,0,1;320,256,-0.7410383303759218,-0.671462726377024;384,256,0,1;448,256,0,1;0,320,0,1;64,320,0,1;128,320,0,1;192,320,0.14248609294997056,-0.9897968040541717;256,320,-0.9363580406694754,0.3510464636962195;320,320,0.5136924889491592,0.857974374207772;384,320,0.07274500344715937,0.9973505725037073;448,320,0,1;0,384,0,1;64,384,0,1;128,384,0,1;192,384,-0.7430355480667443,0.6692519512927495;256,384,-0.9987111444229235,-0.05075480278214395;320,384,0,1;384,384,0.28649310876019285,-0.9580823026404988;448,384,0,1;0,448,0,1;64,448,0,1;128,448,-0.7796287812412136,0.626241936842575;192,448,-0.981523396414877,-0.19134216025279005;256,448,0,1;320,448,0,1;384,448,0.3096495151491542,-0.9508507652454689;448,448,0,1
C:/Users/huetb/Desktop/Cours/Bachelor 3/Projet Lettre ML/code/final/projetml 1/image/image.png;0,0,0,1;64,0,0,1;128,0,0,1;192,0,-0.5962988092623721,0.8027625614540561;256,0,0.5330931319356872,0.8460565658884754;320,0,0,1;384,0,0,1;448,0,0,1;0,64,0,1;64,64,-0.9698947896530862,-0.24352432528147122;128,64,-0.9884168088710232,0.1517636713486572;192,64,0,1;256,64,0,1;320,64,0.5559064234932201,-0.8312448786723301;384,64,0,1;448,64,0,1;0,128,0,1;64,128,-0.820704610856961,-0.5713527296846707;128,128,0,1;192,128,0,1;256,128,-0.7867329420974586,-0.6172935102677468;320,128,-0.6106603369162756,-0.7918926397670967;384,128,0,1;448,128,0,1;0,192,0,1;64,192,0.37192980238807777,-0.9282608588621872;128,192,0,1;192,192,0,1;256,192,-0.8227360989717305,-0.5684235317514389;320,192,0,1;384,192,0,1;448,192,0,1;0,256,0,1;64,256,0.8646073914281415,-0.5024480656623376;128,256,0.9577788415509813,-0.28750598372426994;192,256,-0.8078189576469372,-0.5894306843609484;256,256,-0.8477970383655407,-0.530320829063519;320,256,0,1;384,256,0,1;448,256,0,1;0,320,0,1;64,320,0,1;128,320,0.9741172407503912,-0.2260433614881098;192,320,-0.8538011253043176,-0.5205993069809843;256,320,0,1;320,320,0,1;384,320,0,1;448,320,0,1;0,384,0,1;64,384,0,1;128,384,-0.9273001830530673,-0.3743185414987455;192,384,0.9726826587627704,0.2321388492738512;256,384,0.6900807537629228,0.7237323768396686;320,384,0,1;384,384,0,1;448,384,0,1;0,448,0,1;64,448,0,1;128,448,-0.9827769921683592,0.18479551851847734;192,448,0,1;256,448,0,1;320,448,0,1;384,448,0,1;448,448,0,1
C:/Users/huetb/Desktop/Cours/Bachelor 3/Projet Lettre ML/code/final/projetml 1/image/image.png;0,0,0,1;64,0,0,1;128,0,0,1;192,0,0,1;256,0,-0.8517413734050028,-0.5239624345601117;320,0,0.1927509305990158,-0.9812477152856017;384,0,0,1;448,0,0,1;0,64,0,1;64,64,0,1;128,64,0,1;192,64,-0.962393363096174,-0.27165974061026404;256,64,-0.9175828851965943,-0.39754452429167453;320,64,-0.307025902086624,-0.9517011586879017;384,64,0,1;448,64,0,1;0,128,0,1;64,128,0,1;128,128,0,1;192,128,-0.9429193800679028,-0.3330210844561675;256,128,0,1;320,128,-0.5675335790924793,-0.8233502514741102;384,128,0,1;448,128,0,1;0,192,0,1;64,192,0,1;128,192,-0.7720174508926546,-0.6356013337912434;192,192,0,1;256,192,-0.6547237992927134,-0.755868207189398;320,192,-0.7286153846153847,-0.6849230769230769;384,192,0,1;448,192,0,1;0,256,0,1;64,256,0,1;128,256,0.9004213332563025,-0.43501887616164736;192,256,0.6427446930929238,0.7660804523683419;256,256,0.19262602985564023,0.9812722418483334;320,256,-0.00937648022884696,0.9999560398430113;384,256,0.05079663274541132,0.9987090177332573;448,256,0.06413821000908866,0.9979410253200487;0,320,0,1;64,320,0,1;128,320,0,1;192,320,-0.10139225695946068,0.994846525967029;256,320,-0.360104262231733,0.9329120646248172;320,320,0.09716185726352822,0.9952685936434957;384,320,-0.6069866582489807,0.7947120212427488;448,320,-0.1042340791112768,0.9945527923402679;0,384,0,1;64,384,0,1;128,384,0,1;192,384,-0.9999982324110792,-0.0018802060305687309;256,384,0,1;320,384,0,1;384,384,0,1;448,384,0,1;0,448,0,1;64,448,0,1;128,448,0,1;192,448,0,1;256,448,0,1;320,448,0,1;384,448,0,1;448,448,0,1
C:/Users/huetb/Desktop/Cours/Bachelor 3/Projet Lettre ML/code/final/projetml 1/image/image.png;0,0,0,1;64,0,0,1;128,0,0,1;192,0,0,1;256,0,-0.8459755986550785,0.5332216110400831;320,0,0,1;384,0,0,1;448,0,0,1;0,64,0,1;64,64,0,1;128,64,0,1;192,64,0,1;256,64,0.6696066547844772,-0.7427159132995212;320,64,0,1;384,64,0,1;448,64,0,1;0,128,0,1;64,128,0,1;128,128,0,1;192,128,0,1;256,128,-0.9891073896087401,-0.14719569226503837;320,128,0,1;384,128,0,1;448,128,0,1;0,192,0,1;64,192,0,1;128,192,0,1;192,192,-0.9911494203269908,-0.13275099466847762;256,192,0.9095985998604323,-0.4154881311565244;320,192,0,1;384,192,0,1;448,192,0,1;0,256,0,1;64,256,0,1;128,256,-0.9995167137981186,-0.031085991028276697;192,256,0.9989766577756501,-0.04522872117793705;256,256,-0.9071299701181983,0.42085058787336466;320,256,-0.4137984367827058,0.9103685263211757;384,256,0,1;448,256,0,1;0,320,0,1;64,320,0,1;128,320,0,1;192,320,0.581258732589388,-0.8137188001936408;256,320,-0.9984674170596433,-0.055342723733516085;320,320,0.8017839952295415,-0.5976139431052079;384,320,0,1;448,320,0,1;0,384,0,1;64,384,0,1;128,384,0,1;192,384,0,1;256,384,0.5307654286178776,-0.8475187666264864;320,384,-0.30700293112400495,-0.951708568985942;384,384,0,1;448,384,0,1;0,448,0,1;64,448,0,1;128,448,0,1;192,448,0,1;256,448,0.17619659634356094,0.984354996653618;320,448,-0.8794147112950311,-0.47605647307633275;384,448,0,1;448,448,0,1
C:/Users/huetb/Desktop/Cours/Bachelor 3/Projet Lettre ML/code/final/projetml 1/image/image.png;0,0,0,1;64,0,0,1;128,0,0,1;192,0,0,1;256,0,0,1;320,0,0,1;384,0,0,1;448,0,0,1;0,64,0,1;64,64,0,1;128,64,0,1;192,64,0,1;256,64,0,1;320,64,0,1;384,64,0,1;448,64,0,1;0,128,-0.19084402855860746,0.981620373038132;64,128,-0.07440908241621698,0.9972278016852402;128,128,-0.07824844335525473,0.9969338900410996;192,128,-0.03860355398922955,0.9992546050028496;256,128,0.9480743188325843,0.3180488735558284;320,128,0,1;384,128,0,1;448,128,0,1;0,192,0,1;64,192,0,1;128,192,0.6938617917694904,0.720108195983376;192,192,0.3886107640575487,0.9214020154409304;256,192,-0.6087392455737187,0.7933703617468577;320,192,0.9923404675506886,0.12353297722179617;384,192,0,1;448,192,0,1;0,256,0,1;64,256,0,1;128,256,0,1;192,256,0,1;256,256,-0.2921998681925461,0.9563572747818979;320,256,0.18121195352070793,0.9834440644496303;384,256,0.18331794432194293,0.983053676708234;448,256,0,1;0,320,0,1;64,320,0,1;128,320,-0.8880346433234753,0.45977654600615314;192,320,-0.4510619124072619,0.8924926616928026;256,320,-0.403045141241896,0.9151800992817207;320,320,-0.43685607491691997,0.8995314167988699;384,320,0,1;448,320,0,1;0,384,0,1;64,384,0,1;128,384,0,1;192,384,0,1;256,384,0,1;320,384,0,1;384,384,0,1;448,384,0,1;0,448,0,1;64,448,0,1;128,448,0,1;192,448,0,1;256,448,0,1;320,448,0,1;384,448,0,1;448,448,0,1
C:/Users/huetb/Desktop/Cours/Bachelor 3/Projet Lettre ML/code/final/projetml 1/image/image.png;0,0,0,1;64,0,0,1;128,0,0,1;192,0,0,1;256,0,0,1;320,0,0,1;384,0,0,1;448,0,0,1;0,64,0,1;64,64,0,1;128,64,0,1;192,64,0,1;256,64,0,1;320,64,0,1;384,64,0,1;448,64,0,1;0,128,0,1;64,128,-0.927657558035617,0.3734319951736807;128,128,0.004660581627690123,0.9999891394304699;192,128,0.34485715133386635,0.9386551790587908;256,128,0.6867794370976678,0.7268658781231999;320,128,0,1;384,128,0,1;448,128,0,1;0,192,0,1;64,192,0.911234074194467,0.41188889524597816;128,192,0.5111928888850132,0.8594660146587499;192,192,0.22328273054099376,0.9747537238924292;256,192,-0.8927918757721126,0.45046938470368086;320,192,0.6305950415873489,-0.7761120367095526;384,192,0,1;448,192,0,1;0,256,-0.10288135742909649,0.9946936343887731;64,256,-0.7675623857285079,0.6409742459840031;128,256,-0.24018157550785743,0.9707279798102881;192,256,-0.27481606945152176,0.9614968164124187;256,256,0.9842600192099339,0.1767263833864674;320,256,-0.8135793538985772,-0.5814538974931495;384,256,0,1;448,256,0,1;0,320,0,1;64,320,0.3092301159550731,0.9509872424940369;128,320,0.90051662163351,0.43482158888648786;192,320,0.008082816204604522,0.9999673335075513;256,320,-0.4142126985875373,0.910180114224009;320,320,0.0016554129069976315,0.9999986298031149;384,320,0.061793579169597566,0.9980889507320531;448,320,0,1;0,384,0,1;64,384,0,1;128,384,0,1;192,384,0,1;256,384,0,1;320,384,0,1;384,384,0,1;448,384,0,1;0,448,0,1;64,448,0,1;128,448,0,1;192,448,0,1;256,448,0,1;320,448,0,1;384,448,0,1;448,448,0,1
C:/Users/huetb/Desktop/Cours/Bachelor 3/Projet Lettre ML/code/final/projetml 1/image/image.png;0,0,0,1;64,0,0,1;128,0,0,1;192,0,0,1;256,0,0,1;320,0,0,1;384,0,0,1;448,0,0,1;0,64,0,1;64,64,0,1;128,64,-0.9099117334775568,-0.4148019253569922;192,64,-0.027090871227453295,0.9996329749943914;256,64,0.9861014657029302,0.1661442124737813;320,64,0,1;384,64,0,1;448,64,0,1;0,128,0,1;64,128,0,1;128,128,-0.141444421033574,-0.9899461984160942;192,128,0,1;256,128,0.9270207572598932,-0.37501002067850714;320,128,0.868626778398434,-0.4954669715017922;384,128,0,1;448,128,0,1;0,192,0,1;64,192,0,1;128,192,-0.14543355315797965,-0.9893680213226245;192,192,0.6842165719388416,0.7292788785397942;256,192,-0.019214791763227237,0.9998153788462626;320,192,-0.9732909625759629,-0.22957504691920605;384,192,0,1;448,192,0,1;0,256,0,1;64,256,0,1;128,256,0.1385016942533476,-0.990362196718429;192,256,0,1;256,256,0.9992105788861244,0.03972680508241481;320,256,0.9999954649640391,0.0030116525953510533;384,256,0,1;448,256,0,1;0,320,0,1;64,320,0,1;128,320,-0.7776223143633725,-0.6287316885636928;192,320,0,1;256,320,0,1;320,320,0.9894628849979902,-0.14478673700119837;384,320,0.7609756097560975,-0.6487804878048782;448,320,0,1;0,384,0,1;64,384,0,1;128,384,0,1;192,384,0,1;256,384,-0.9912560452883785,-0.13195246371039976;320,384,-0.8567063087563206,0.5158045177556317;384,384,-0.9896028880866425,-0.1438267148014443;448,384,0,1;0,448,0,1;64,448,0,1;128,448,0,1;192,448,0,1;256,448,-0.9855469423622252,0.16940255133990403;320,448,0,1;384,448,0,1;448,448,0,1
C:/Users/huetb/Desktop/Cours/Bachelor 3/Projet Lettre ML/code/final/projetml 1/image/image.png;0,0,0,1;64,0,0,1;128,0,-1.0,0.0;192,0,-0.9468735564315887,0.32160607601628893;256,0,0.9940319294413501,0.10908951943750932;320,0,0,1;384,0,0,1;448,0,0,1;0,64,0,1;64,64,0,1;128,64,-0.3676358319601787,-0.9299698355640076;192,64,0,1;256,64,-0.1281367478922417,-0.991756509350758;320,64,0,1;384,64,0,1;448,64,0,1;0,128,0,1;64,128,0,1;128,128,-1.25607396694702e-15,1.0;192,128,0,1;256,128,-0.2703281427406481,-0.9627682458631421;320,128,0,1;384,128,0,1;448,128,0,1;0,192,0,1;64,192,0,1;128,192,-0.14889479851539172,-0.988853042152908;192,192,0,1;256,192,-0.7540114448359995,-0.6568612799186206;320,192,0,1;384,192,0,1;448,192,0,1;0,256,0,1;64,256,0,1;128,256,-0.19588668969347792,-0.9806265368635152;192,256,-0.448625830742432,-0.8937196786412743;256,256,0.1320950528948311,0.9912370538880757;320,256,0.8589942146861043,-0.51198529191355;384,256,0,1;448,256,0,1;0,320,0,1;64,320,0,1;128,320,-0.2130983896834926,-0.9770307448152808;192,320,-0.9778263075815387,-0.20941755466401146;256,320,0,1;320,320,0.8848093298837107,-0.4659532699217151;384,320,0,1;448,320,0,1;0,384,0,1;64,384,0,1;128,384,0.012636803648635671,0.999920152408954;192,384,-0.9684939497960708,0.24903708400237493;256,384,0,1;320,384,0.8442838185649371,-0.5358962900687114;384,384,0.7645311802943908,-0.6445867469609236;448,384,0,1;0,448,0,1;64,448,0,1;128,448,-0.8508408363792502,0.5254235159844466;192,448,-0.9874643644897148,0.1578421010469763;256,448,0,1;320,448,0,1;384,448,0.38879158975099537,-0.9213257294458316;448,448,0,1
C:/Users/huetb/Desktop/Cours/Bachelor 3/Projet Lettre ML/code/final/projetml 1/image/image.png;0,0,0,1;64,0,0,1;128,0,0,1;192,0,-0.9547726453582263,0.2973368387463194;256,0,0.9982223922417235,0.05959912438291946;320,0,0,1;384,0,0,1;448,0,0,1;0,64,0,1;64,64,0,1;128,64,-0.9246190434989966,-0.3808931929018957;192,64,-0.9376299000294317,-0.3476351112456826;256,64,0.7311915271328769,-0.6821722294619529;320,64,0,1;384,64,0,1;448,64,0,1;0,128,0,1;64,128,0,1;128,128,-0.8199204082286384,-0.5724775315854614;192,128,0,1;256,128,-0.1735356525920841,-0.9848275875905587;320,128,0,1;384,128,0,1;448,128,0,1;0,192,0,1;64,192,0,1;128,192,-0.3815066246228234,-0.9243661046192142;192,192,0,1;256,192,-0.3464082545259797,-0.9380838561643965;320,192,0,1;384,192,0,1;448,192,0,1;0,256,0,1;64,256,0,1;128,256,0.2808916579115979,-0.9597394836702686;192,256,0,1;256,256,-0.1342841113816511,-0.990942872939929;320,256,0,1;384,256,0,1;448,256,0,1;0,320,0,1;64,320,0,1;128,320,0.44884828947259664,-0.8936079750301718;192,320,0,1;256,320,-0.17132979965119655,-0.9852137330302907;320,320,0.913308907566187,0.4072675279963506;384,320,0,1;448,320,0,1;0,384,0,1;64,384,0,1;128,384,0.8559296350583077,-0.5170923126763267;192,384,0.10130496679606965,0.9948554184917763;256,384,-0.8293651561002953,-0.5587069337736312;320,384,-0.7894822785442481,0.6137733554534461;384,384,0.019548684989808676,0.9998089061991642;448,384,0.0729546158861834,0.9973352615950664;0,448,0,1;64,448,0,1;128,448,0,1;192,448,0.37299219387751914,0.9278344805548214;256,448,-0.13368499654924557,0.9910238754427808;320,448,-0.8719803233160057,0.48954092346780803;384,448,0,1;448,448,0,1
C:/Users/huetb/Desktop/Cours/Bachelor 3/Projet Lettre ML/code/final/projetml 1/image/image.png;0,0,0,1;64,0,0,1;128,0,0,1;192,0,-0.7419290825881505,0.6704783638641184;256,0,-0.6750065643199488,0.7378117226806435;320,0,0.998942953059326,0.045967124481667516;384,0,0,1;448,0,0,1;0,64,0,1;64,64,0,1;128,64,-0.9869286514416363,-0.16115780143571487;192,64,-0.9836177814881453,0.1802666356826447;256,64,0,1;320,64,0.34506636114806993,-0.9385782899705435;384,64,0,1;448,64,0,1;0,128,0,1;64,128,0,1;128,128,-0.7488143216476089,-0.6627798365184562;192,128,0,1;256,128,0,1;320,128,-0.1869899561006418,-0.9823618255599512;384,128,0,1;448,128,0,1;0,192,0,1;64,192,0,1;128,192,0.3306326355432017,-0.9437595352173965;192,192,0,1;256,192,0,1;320,192,-0.5268437044304983,-0.8499621821598592;384,192,0,1;448,192,0,1;0,256,0,1;64,256,0,1;128,256,0.6694402436827638,-0.742865909931235;192,256,0,1;256,256,-0.841959167797233,-0.5395412493611504;320,256,-0.7755373285944696,-0.6313017123028843;384,256,0,1;448,256,0,1;0,320,0,1;64,320,0,1;128,320,0.6914024929789764,-0.7224697867056148;192,320,0.6751086014770701,-0.7377183583263158;256,320,-0.5565809312188674,0.8307933961001005;320,320,-0.5003792469092213,0.865806334732289;384,320,-0.1758094769691725,0.9844242113072118;448,320,0,1;0,384,0,1;64,384,0,1;128,384,0,1;192,384,-0.28367021840982404,0.9589218983771945;256,384,0.9683213977232994,0.24970716992348427;320,384,0,1;384,384,0,1;448,384,0,1;0,448,0,1;64,448,0,1;128,448,-0.9979292123579919,-0.06432174688670775;192,448,0.7791125663330705,0.6268840474775992;256,448,-0.9944956481528439,0.10477788795855174;320,448,0,1;384,448,0,1;448,448,0,1
C:/Users/huetb/Desktop/Cours/Bachelor 3/Projet Lettre ML/code/final/projetml 1/image/image.png;0,0,0,1;64,0,0,1;128,0,0,1;192,0,0,1;256,0,0,1;320,0,0,1;384,0,0,1;448,0,0,1;0,64,0,1;64,64,0,1;128,64,0,1;192,64,0,1;256,64,0,1;320,64,0,1;384,64,0,1;448,64,0,1;0,128,0,1;64,128,0,1;128,128,0.2206186900642786,0.9753601353317254;192,128,0.15418086869028721,0.9880426406435647;256,128,0.6042799433932844,0.796772081597121;320,128,0.8453425088846714,0.534224711776392;384,128,0,1;448,128,0,1;0,192,0,1;64,192,0,1;128,192,0.5502360397615913,-0.835009161954215;192,192,0.8626850494548604,0.5057415401636148;256,192,0.12263122219291167,0.9924523078432902;320,192,0.9567337139512532,0.2909649473545594;384,192,0.9956081495968454,-0.09361844079210842;448,192,0,1;0,256,0,1;64,256,0,1;128,256,0,1;192,256,0.6498446171169701,-0.7600670849366513;256,256,0,1;320,256,0,1;384,256,-0.9780919750717991,-0.20817321705768746;448,256,0,1;0,320,0,1;64,320,0,1;128,320,0,1;192,320,0.9862319524142755,0.16536788091139773;256,320,-0.005813798115890773,0.9999830997329244;320,320,-0.8014603315443111,0.5980479386812424;384,320,0,1;448,320,0,1;0,384,0,1;64,384,0,1;128,384,0,1;192,384,0,1;256,384,0,1;320,384,0,1;384,384,0,1;448,384,0,1;0,448,0,1;64,448,0,1;128,448,0,1;192,448,0,1;256,448,0,1;320,448,0,1;384,448,0,1;448,448,0,1
